contractsymbol,gatherdate,stock,type,expiry,strike,stk_price,impliedvolatility,lastprice,ask,bid,timevalue,inthemoney,days_to_expiry
IWM230317C00185000,2022-04-11 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,197.0500030517578,0.2989572058105468,28.55,28.49,27.09,1.3492063492063493,1,340
IWM230317C00185000,2022-04-20 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,202.59,0.2919992675781249,29.78,31.41,30.27,1.3134920634920635,1,331
IWM230317C00185000,2022-04-25 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,191.84,0.2883371948242186,29.78,24.06,23.66,1.2936507936507937,1,326
IWM230317C00185000,2022-05-03 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,189.16,0.2777019252014159,21.46,21.48,20.78,1.2619047619047619,1,318
IWM230317C00185000,2022-05-06 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,182.93,0.2706982110595703,21.46,17.3,16.63,1.25,0,315
IWM230317C00185000,2022-05-09 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,176.21,0.274848560180664,21.46,14.14,13.57,1.2380952380952381,0,312
IWM230317C00185000,2022-05-11 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,171.66,0.2784190811157226,21.46,12.31,11.68,1.2301587301587302,0,310
IWM230317C00185000,2022-05-19 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,178.31,0.2718273501586914,14.65,14.73,14.16,1.1984126984126984,0,302
IWM230317C00185000,2022-05-20 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,173.2,0.2757335610961914,14.65,12.58,12.06,1.1944444444444444,0,301
IWM230317C00185000,2022-05-23 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,177.83,0.2714306256103516,14.65,14.34,13.98,1.1825396825396826,0,298
IWM230317C00185000,2022-05-25 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,178.48,0.2772594247436523,14.22,15.02,14.6,1.1746031746031746,0,296
IWM230317C00185000,2022-05-27 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,186.19,0.2776866665649413,16.68,19.05,18.59,1.1666666666666667,1,294
IWM230317C00185000,2022-05-31 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,185.4,0.2749095947265625,16.68,18.27,17.85,1.1507936507936507,1,290
IWM230317C00185000,2022-06-02 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,188.16,0.2758556301879882,20.04,19.85,19.46,1.1428571428571428,1,288
IWM230317C00185000,2022-06-06 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,187.92,0.2744518356323242,19.1,19.5,19.21,1.126984126984127,1,284
IWM230317C00185000,2022-06-08 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,187.51,0.2791820129394531,19.1,19.51,19.15,1.119047619047619,1,282
IWM230317C00185000,2022-06-09 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,184.75,0.2808299456787109,19.1,18.02,17.69,1.1150793650793651,0,281
IWM230317C00185000,2022-06-10 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,178.78,0.2810130493164062,15.25,14.9,14.55,1.1111111111111112,0,280
IWM230317C00185000,2022-06-13 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,170.2,0.2869944348144531,15.25,11.24,10.74,1.0992063492063493,0,277
IWM230317C00185000,2022-06-15 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,172.85,0.2861399511718749,10.5,12.24,9.83,1.0912698412698412,0,275
IWM230317C00185000,2022-06-17 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,165.22,0.2713695910644531,10.5,8.35,7.9,1.0833333333333333,0,273
IWM230317C00185000,2022-06-21 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,168.82,0.271644246520996,10.5,9.62,9.34,1.0674603174603174,0,269
IWM230317C00185000,2022-06-22 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,168.18,0.2703625210571289,8.5,9.28,8.97,1.0634920634920635,0,268
IWM230317C00185000,2022-06-24 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,174.32,0.2689282092285155,10.5,11.67,11.33,1.0555555555555556,0,266
IWM230317C00185000,2022-06-27 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,176.19,0.2717663156127929,10.5,12.61,12.26,1.0436507936507937,0,263
IWM230317C00185000,2022-06-28 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,172.72,0.2724071783447265,10.5,11.05,10.67,1.0396825396825398,0,262
IWM230317C00185000,2022-06-29 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,170.15,0.267860104675293,10.5,9.7,9.47,1.0357142857142858,0,261
IWM230317C00185000,2022-06-30 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,169.29,0.2674023455810547,10.5,9.31,9.04,1.0317460317460319,0,260
IWM230317C00185000,2022-07-01 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,171.5,0.2638318246459961,10.5,9.96,9.78,1.0277777777777777,0,259
IWM230317C00185000,2022-07-05 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,171.23,0.2671887246704102,10.5,9.93,9.78,1.0119047619047619,0,255
IWM230317C00185000,2022-07-06 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,171.04,0.2687756228637695,9.64,9.87,9.66,1.007936507936508,0,254
IWM230317C00185000,2022-07-07 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,175.8,0.2663647583007812,11.77,11.78,11.56,1.003968253968254,0,253
IWM230317C00185000,2022-07-08 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,175.67,0.2674938973999023,12.05,11.75,11.55,1.0,0,252
IWM230317C00185000,2022-07-11 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,172.97,0.2670361383056641,12.05,10.46,10.29,0.9880952380952381,0,249
IWM230317C00185000,2022-07-12 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,173.25,0.2638928591918945,12.05,10.37,10.2,0.9841269841269841,0,248
IWM230317C00185000,2022-07-13 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,171.79,0.269263899230957,9.74,10.0,9.85,0.9801587301587301,0,247
IWM230317C00185000,2022-07-14 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,168.42,0.2615430291748046,9.74,8.26,8.16,0.9761904761904762,0,246
IWM230317C00185000,2022-07-15 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,172.95,0.2614819946289062,9.25,10.02,9.9,0.9722222222222222,0,245
IWM230317C00185000,2022-07-18 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,173.48,0.264533721923828,9.25,10.34,10.22,0.9603174603174603,0,242
IWM230317C00185000,2022-07-19 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,178.26,0.2695385546875,11.21,12.75,12.63,0.9563492063492064,0,241
IWM230317C00185000,2022-07-20 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,180.43,0.2704540728759765,12.88,13.81,13.4,0.9523809523809523,0,240
IWM230317C00185000,2022-07-21 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,180.84,0.2730480410766601,14.2,14.16,13.83,0.9484126984126984,0,239
IWM230317C00185000,2022-07-22 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,178.59,0.2659375164794921,14.2,12.59,12.48,0.9444444444444444,0,238
IWM230317C00185000,2022-07-25 00:00:00,iwm,Call,2023-03-17 16:00:00,185.0,180.52,0.2690807955932617,14.2,13.61,13.34,0.9325396825396826,0,235
